13:08:33.942044 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:54370, sz=207 is delivered
13:08:33.942348 [queue=0] packet #12, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=2 is dropped
13:39:33.323520 config: drop-rate=0.00, max-delay=4s, seed=1703011173323409000
13:39:33.325219 router is listening at :3000
13:39:55.539655 [queue=1] packet #1, 127.0.0.1:51797 -> 127.0.0.1:8080, sz=24 is delayed for 2.44s
13:39:57.981566 [queue=0] packet #1, 127.0.0.1:51797 -> 127.0.0.1:8080, sz=24 is delivered
13:39:57.987665 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51797, sz=24 is delayed for 2.52s
13:39:58.548160 [queue=2] packet #1, 127.0.0.1:51797 -> 127.0.0.1:8080, sz=24 is delayed for 3.04s
13:40:00.509235 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51797, sz=24 is delivered
13:40:00.512326 [queue=2] packet #2, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delayed for 560ms
13:40:01.073737 [queue=1] packet #2, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delivered
13:40:01.115955 [queue=2] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delayed for 2.88s
13:40:01.589576 [queue=1] packet #1, 127.0.0.1:51797 -> 127.0.0.1:8080, sz=24 is delivered
13:40:01.590476 [queue=2] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51797, sz=24 is delayed for 1.56s
13:40:03.151899 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51797, sz=24 is delivered
13:40:03.516108 [queue=2] packet #2, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delayed for 440ms
13:40:03.957479 [queue=1] packet #2, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delivered
13:40:03.963232 [queue=2] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delayed for 40ms
13:40:03.997534 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delivered
13:40:04.000909 [queue=2] packet #3, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delayed for 2.84s
13:40:04.003807 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delivered
13:40:04.003993 [queue=2] packet #4, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=2 is delayed for 320ms
13:40:04.324985 [queue=1] packet #4, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=2 is delivered
13:40:06.842381 [queue=0] packet #3, 127.0.0.1:56548 -> 127.0.0.1:8080, sz=44 is delivered
13:40:06.849025 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delayed for 1.48s
13:40:08.330483 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56548, sz=213 is delivered
13:40:42.510534 [queue=1] packet #5, 127.0.0.1:53650 -> 127.0.0.1:8080, sz=24 is delayed for 1.44s
13:40:43.953606 [queue=0] packet #5, 127.0.0.1:53650 -> 127.0.0.1:8080, sz=24 is delivered
13:40:43.955014 [queue=1] packet #5, 127.0.0.1:8080 -> 127.0.0.1:53650, sz=24 is delayed for 2.48s
13:40:45.513239 [queue=2] packet #5, 127.0.0.1:53650 -> 127.0.0.1:8080, sz=24 is delayed for 2.08s
13:40:46.436524 [queue=1] packet #5, 127.0.0.1:8080 -> 127.0.0.1:53650, sz=24 is delivered
13:40:46.438199 [queue=2] packet #6, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delayed for 320ms
13:40:46.759685 [queue=1] packet #6, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delivered
13:40:46.773671 [queue=2] packet #6, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delayed for 2.92s
13:40:47.594801 [queue=1] packet #5, 127.0.0.1:53650 -> 127.0.0.1:8080, sz=24 is delivered
13:40:47.596497 [queue=2] packet #5, 127.0.0.1:8080 -> 127.0.0.1:53650, sz=24 is delayed for 240ms
13:40:47.838005 [queue=1] packet #5, 127.0.0.1:8080 -> 127.0.0.1:53650, sz=24 is delivered
13:40:49.440721 [queue=2] packet #6, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delayed for 1.16s
13:40:49.695155 [queue=1] packet #6, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delivered
13:40:49.695938 [queue=2] packet #7, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delayed for 1.28s
13:40:50.602204 [queue=1] packet #6, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delivered
13:40:50.606310 [queue=2] packet #6, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delayed for 200ms
13:40:50.807684 [queue=1] packet #6, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delivered
13:40:50.808249 [queue=2] packet #8, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=2 is delayed for 920ms
13:40:50.977274 [queue=1] packet #7, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=96 is delivered
13:40:50.981157 [queue=2] packet #7, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delayed for 2.24s
13:40:51.728864 [queue=1] packet #8, 127.0.0.1:63653 -> 127.0.0.1:8080, sz=2 is delivered
13:40:53.222532 [queue=0] packet #7, 127.0.0.1:8080 -> 127.0.0.1:63653, sz=229 is delivered
14:51:39.393121 config: drop-rate=0.00, max-delay=0s, seed=1703015499393018000
